tmdb_id,imdb_id,title,release_date,language,rating_tmdb,rating_imdb,votes_imdb,revenue,director,cast,release_year
473042,tt1228707,Jimmy,09-05-2008,hi,0,1.7,312,0,Raj N. Sippy,"Mimoh Chakraborty, Adi Irani, Rati Agnihotri, Vikas Anand, Shakti Kapoor",2008
473234,tt7294534,Arjun Reddy,25-08-2017,te,7.009,7.9,30071,8000000,Sandeep Reddy Vanga,"Vijay Deverakonda, Shalini Pandey, Rahul Ramakrishna, Kamal Kamaraju, Kanchana",2017
473636,tt4128750,Chewing Gum,06-12-2013,ml,5,3.5,14,0,Praveen M Sukumaran,"Sunny Wayne, Thinkal Bhal, Baiju Johnson, M R Gopakumar",2013
474252,tt0779768,Teesri Aankh: The Hidden Camera,03-03-2006,hi,4.2,2.8,374,0,Harry Baweja,"Sunny Deol, Ameesha Patel, Neha Dhupia, Mukesh Rishi, Aarti Chabria",2006
474410,tt0924297,Smart City,15-12-2006,ml,4.2,4.2,123,0,B. Unnikrishnan,"Suresh Gopi, Gopika, Murali, Jayasurya, Manoj K Jayan",2006
474473,tt8680096,Vellipomakey,02-09-2017,te,0,6.5,90,0,Ali Mohammad,"Vishwak Sen, Nithyasree Reddy, Supraja, Swetha",2017
474579,tt8084696,Mr. Kabaadi,08-09-2017,hi,5,4.5,75,0,Seema Kapoor,"Annu Kapoor, Rajveer Singh, Kashish Vora, Sarika, Vinay Pathak",2017
474955,tt6644636,Yuddham Sharanam,08-09-2017,te,5.857,5.7,665,0,Krishna Marimuthu,"Naga Chaitanya Akkineni, Lavanya Tripathi, Srikanth, Rao Ramesh, Revathi",2017
474958,tt7411396,Meda Meeda Abbayi,08-09-2017,te,4,5.6,108,0,G. Prajith,"Allari Naresh, Nikhila Vimal, Srinivas Avasarala, Hyper Adhi, Satyam Rajesh",2017
474998,tt1114733,Bharya Swantham Suhruthu,27-02-2009,ml,4,4.5,37,0,Venu Nagavalli,"Mukesh, Jagathy Sreekumar, Urvashi, Padmapriya Janakiraman, Thilakan",2009
475250,tt6978268,Omertà,20-04-2018,hi,6.8,7.1,4078,0,Hansal Mehta,"Rajkummar Rao, Timothy Ryan Hickernell, Rajesh Tailang, Rupinder Nagra, Keval Arora",2018
475396,tt1918889,Kayam,07-01-2011,ml,1,3.5,50,0,Anil K Nair,"Manoj K Jayan, Bala, Aparna Nair, Shweta Menon, Seema G Nair",2011
475456,tt6707992,Vasham,04-08-2017,te,0,6.1,36,0,Srikanth Challa,"Krishneswara Rao, Nanda Kishore, M. V. Vasudeva Rao, Swetaa Varma",2017
475934,tt7425474,Kadhal Kasakuthaiya,08-09-2017,ta,5.8,6.6,143,0,Dwarakh Raja,"Dhruva, Venba, Charle, Kalpana, Linga",2017
476494,tt5127686,Leeches,09-04-2016,hi,6,7,254,0,Payal Sethi,"Sayani Gupta, Preeti Golacha, Najma Nusrat, Mohammad Abdul Razzak, Manju Rawal",2016
476830,tt4365926,Nayantara's Necklace,15-10-2015,hi,5.8,6.8,219,0,Jaydeep Sarkar,"Konkona Sen Sharma, Tillotama Shome, Gulshan Devaiah",2015
476850,tt7111614,Kathalo Rajakumari,15-09-2017,te,10,5.4,80,0,Mahesh Surapaneni,"Nara Rohith, Naga Shaurya, Namitha Pramod, Nandita Raj, Ajay",2017
476882,tt6514342,LavaKusha,12-10-2017,ml,6.4,5.1,382,0,Gireesh Mano,"Neeraj Madhav, Aju Varghese, Biju Menon, Deepti Sati, Major Ravi",2017
476884,tt7076014,Zacharia Pothen Jeevichirippundu,03-11-2017,ml,0,3.3,56,0,Ullas Unnikrishnan,"Manoj K Jayan, Poonam Bajwa, Babu Antony, Lal, Rahul Madhav",2017
476946,tt3124196,Ragini IPS,28-03-2014,kn,7.5,5,30,0,Anand P. Raju,"Ragini Dwivedi, Avinash, Achyuth, Ramesh Bhat, Upendra",2014
477234,tt7059770,Theru Naaigal,22-09-2017,ta,0,5.5,30,0,Hari Uthra,"Pavel Navageethan, Appukutty, Imman Annachi, Mime Gopi, Arumugam Bala",2017
477239,tt4981012,Valladesam,22-09-2017,ta,8.5,7.5,52,0,N. T. Nantha,"Anu Hasan, Kumud Pant, Atul Sharma, Nassar, Bala Singh",2017
477440,tt7041630,Bayama Irukku,22-09-2017,ta,6.5,5.3,110,0,P. Jawahar,"Santhosh Prathap, Rajendran, Lollu Sabha Jeeva, Jagan, Bharani",2017
